,iat,lt,tot,pt,name,mean,uf
284,60.0,30.0,20.0,75.0,HoldingQueueWaitingTime:mean,9.999850002999901,0.8333333333333334
285,60.0,30.0,20.0,75.0,ParkedPlanes:mean,1.10007399926,0.8333333333333334
286,60.0,30.0,20.0,75.0,Runwayutilization:last,0.8333197226078599,0.8333333333333334
287,60.0,30.0,20.0,90.0,AirportResponseTime:mean,155.0,0.8333333333333334
288,60.0,30.0,20.0,90.0,DepartQueueSize:mean,0.33333333333333,0.8333333333333334
289,60.0,30.0,20.0,90.0,DepartQueueWaitingTime:mean,5.0,0.8333333333333334
290,60.0,30.0,20.0,90.0,HoldingQueueSize:mean,0.33332888894815,0.8333333333333334
291,60.0,30.0,20.0,90.0,HoldingQueueWaitingTime:mean,9.999800003999901,0.8333333333333334
292,60.0,30.0,20.0,90.0,ParkedPlanes:mean,1.5,0.8333333333333334
293,60.0,30.0,20.0,90.0,Runwayutilization:last,0.8333197226078599,0.8333333333333334
294,60.0,30.0,25.0,60.0,AirportResponseTime:mean,115.0,0.9166666666666666
295,60.0,30.0,25.0,60.0,DepartQueueSize:mean,0.5,0.9166666666666666
296,60.0,30.0,25.0,60.0,DepartQueueWaitingTime:mean,0.0,0.9166666666666666
297,60.0,30.0,25.0,60.0,HoldingQueueSize:mean,0.0,0.9166666666666666
298,60.0,30.0,25.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.9166666666666666
299,60.0,30.0,25.0,60.0,ParkedPlanes:mean,0.5000024999875,0.9166666666666666
300,60.0,30.0,25.0,60.0,Runwayutilization:last,0.9166540974631301,0.9166666666666666
301,60.0,30.0,25.0,75.0,AirportResponseTime:mean,154.9994,0.9166666666666666
302,60.0,30.0,25.0,75.0,DepartQueueSize:mean,0.46152893474269,0.9166666666666666
303,60.0,30.0,25.0,75.0,DepartQueueWaitingTime:mean,13.571,0.9166666666666666
304,60.0,30.0,25.0,75.0,HoldingQueueSize:mean,0.36363636363636004,0.9166666666666666
305,60.0,30.0,25.0,75.0,HoldingQueueWaitingTime:mean,11.428371432571002,0.9166666666666666
306,60.0,30.0,25.0,75.0,ParkedPlanes:mean,1.2143028569713998,0.9166666666666666
307,60.0,30.0,25.0,75.0,Runwayutilization:last,0.91664993104368,0.9166666666666666
308,60.0,30.0,25.0,90.0,AirportResponseTime:mean,160.0,0.9166666666666666
309,60.0,30.0,25.0,90.0,DepartQueueSize:mean,0.33333333333333,0.9166666666666666
310,60.0,30.0,25.0,90.0,DepartQueueWaitingTime:mean,2.5,0.9166666666666666
311,60.0,30.0,25.0,90.0,HoldingQueueSize:mean,0.33332888894815,0.9166666666666666
312,60.0,30.0,25.0,90.0,HoldingQueueWaitingTime:mean,12.499750005,0.9166666666666666
