"","x"
"1510",0.110258
"1511",0.285293
"1512",0.0150291
"1513",0.0516548
"1514",0.0807369
"1515",0.16136
"1516",0.100998
"1517",0.0520713
"1518",0.0206384
"1519",0.0466096
"1520",0.012063
"1521",0.0227005
"1522",0.138448
"1523",0.0278792
"1524",0.0384595
"1525",0.131266
"1526",0.0446913
"1527",0.0642599
"1528",0.140316
"1529",0.0434571
"1530",0.0906754
"1531",0.0190953
"1532",0.0364419
"1533",0.125388
"1534",0.0520394
"1535",0.155549
"1536",0.0660132
"1537",0.0211937
"1538",0.0313272
"1539",0.14124
"1540",0.0267506
"1541",0.0887286
"1542",0.150108
"1543",0.0857019
"1544",0.178602
"1545",0.0924815
"1546",0.0945611
"1547",0.213027
"1548",0.106188
"1549",0.0966371
"1550",0.0819793
"1551",0.161771
"1552",0.0855408
"1553",0.0537798
"1554",0.0509659
"1555",0.0379367
"1556",0.037128
"1557",0.0667236
"1558",0.0159151
"1559",0.0195114
"1560",0.138324
"1561",0.100523
