,iat,lt,tot,pt,name,cmean,cEffCount,cvar,upper,lower,error
67,90.0,30.0,15.0,90.0,DepartQueueSize:vector,0.7517753346200862,2883.0649125837294,1.1066151285387447,0.7901742698798473,0.713376399360325,0.07679787051952225
68,90.0,30.0,15.0,90.0,DepartQueueWaitingTime:vector,26.503261177424847,2677.4944263441043,2113.70720379807,28.244691960101246,24.761830394748447,3.482861565352799
69,90.0,30.0,15.0,90.0,HoldingQueueSize:vector,0.7127005455695291,2937.177775913751,1.026784062104735,0.7493462043745532,0.676054886764505,0.07329131761004826
70,90.0,30.0,15.0,90.0,HoldingQueueWaitingTime:vector,25.480140590746704,2675.1647658848883,2036.827690373915,27.190352665477594,23.769928516015813,3.4204241494617804
71,90.0,30.0,15.0,90.0,ParkedPlanes:vector,1.4841722154909813,3265.507763537593,1.2197591207681178,1.5220521978290917,1.446292233152871,0.07575996467622081
72,90.0,30.0,30.0,60.0,AirportResponseTime:vector,240.9457768522827,1688.8187032631145,29501.57785838106,249.1375741656625,232.7539795389029,16.38359462675959
73,90.0,30.0,30.0,60.0,DepartQueueSize:vector,1.210115708943248,1930.8568197199836,2.185164389079074,1.276050572678564,1.1441808452079318,0.1318697274706322
74,90.0,30.0,30.0,60.0,DepartQueueWaitingTime:vector,60.550958579557104,1718.9418237553573,7300.649393424933,64.59018546052295,56.51173169859127,8.078453761931677
75,90.0,30.0,30.0,60.0,HoldingQueueSize:vector,1.207664183438896,1980.8363497299856,2.175941220048016,1.2726243862560815,1.1427039806217103,0.12992040563437124
76,90.0,30.0,30.0,60.0,HoldingQueueWaitingTime:vector,60.45175870066622,1735.1125421236845,7277.696427947448,64.46579443598279,56.43772296534966,8.02807147063313
77,90.0,30.0,30.0,60.0,ParkedPlanes:vector,1.1665811684322052,793.7060709828389,0.915416500564897,1.233143359296775,1.1000189775676352,0.13312438172913987
78,90.0,30.0,30.0,90.0,AirportResponseTime:vector,270.7500599230779,1885.9900698204947,33534.47499692468,279.01470382575667,262.48541602039916,16.529287805357512
79,90.0,30.0,30.0,90.0,DepartQueueSize:vector,1.2074984712781438,1915.011703033093,2.1990534351071034,1.2739156259033764,1.1410813166529112,0.13283430925046513
80,90.0,30.0,30.0,90.0,DepartQueueWaitingTime:vector,60.42248156825678,1707.5356709367081,7325.306059192469,64.48201465922074,56.36294847729281,8.119066181927927
81,90.0,30.0,30.0,90.0,HoldingQueueSize:vector,1.2074682727921373,1946.6440874141385,2.1929247780134014,1.2732517280385731,1.1416848175457015,0.1315669104928716
82,90.0,30.0,30.0,90.0,HoldingQueueWaitingTime:vector,60.41880924635717,1725.881828961273,7304.257859332238,64.45090290194143,56.386715590772916,8.064187311168517
83,90.0,30.0,30.0,90.0,ParkedPlanes:vector,1.499822557794474,3287.771682422512,1.2473417506917297,1.537998520289296,1.4616465952996518,0.07635192498964427
