time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
1266,0.166197
1267,0.165489
1268,0.177737
1269,0.171976
1270,0.169134
1271,0.144765
1272,0.166356
1273,0.168237
1274,0.172095
1275,0.164799
1276,0.143944
1277,0.129807
1278,0.105332
1279,0.105543
1280,0.101866
1281,0.0974432
1282,0.0912649
1283,0.101646
1284,0.114759
1285,0.0989112
1286,0.086193
1287,0.127307
1288,0.13868
1289,0.128371
1290,0.160251
1291,0.163244
1292,0.192465
1293,0.183953
1294,0.172081
1295,0.187198
1296,0.199079
1297,0.237082
1298,0.222222
1299,0.210484
1300,0.199546
1301,0.188289
1302,0.190491
1303,0.207801
1304,0.222398
1305,0.239726
1306,0.235177
1307,0.190976
1308,0.197878
1309,0.213803
1310,0.201726
1311,0.217745
1312,0.210288
1313,0.197236
1314,0.168351
1315,0.16097
1316,0.15458
1317,0.1571
1318,0.133818
1319,0.11546
1320,0.112606
1321,0.146294
1322,0.138222
1323,0.123371
1324,0.143032
1325,0.123047
1326,0.115598
1327,0.11878
1328,0.140014
1329,0.141225
1330,0.1352
1331,0.133265
1332,0.150551
1333,0.154583
1334,0.14573
1335,0.146995
1336,0.128267
1337,0.144741
1338,0.126882
1339,0.120706
1340,0.137028
1341,0.131064
1342,0.137494
1343,0.137219
1344,0.115958
1345,0.118057
1346,0.151329
1347,0.148971
1348,0.124335
1349,0.131998
1350,0.131464
1351,0.137346
1352,0.150683
1353,0.147955
1354,0.137663
1355,0.127931
1356,0.136478
1357,0.145522
1358,0.136799
1359,0.143295
1360,0.151155
1361,0.166374
1362,0.159825
1363,0.155828
1364,0.154941
1365,0.153848
1366,0.140868
1367,0.141145
1368,0.141938
1369,0.139524
1370,0.152263
1371,0.154171
1372,0.145366
1373,0.143597
1374,0.144647
1375,0.14521
1376,0.118241
1377,0.117598
1378,0.111516
1379,0.102683
1380,0.113297
1381,0.0992397
1382,0.105375
1383,0.0992046
1384,0.0941198
1385,0.115243
1386,0.117502
1387,0.099646
1388,0.10309
1389,0.110982
1390,0.111679
1391,0.115548
1392,0.111686
1393,0.160972
1394,0.157527
1395,0.141066
1396,0.123756
1397,0.100751
1398,0.132353
1399,0.139366
1400,0.14718
1401,0.116262
1402,0.126695
1403,0.109749
1404,0.112466
1405,0.120149
1406,0.14043
1407,0.132645
1408,0.126433
1409,0.138665
1410,0.131661
1411,0.125421
1412,0.119348
1413,0.132464
1414,0.142778
1415,0.161756
1416,0.165116
1417,0.152714
1418,0.148725
1419,0.172404
1420,0.205353
1421,0.214584
1422,0.216708
1423,0.200993
1424,0.191194
1425,0.196994
1426,0.17347
1427,0.182797
1428,0.192488
1429,0.18555
1430,0.182569
1431,0.192906
1432,0.196663
1433,0.188125
1434,0.162934
1435,0.174641
1436,0.179261
1437,0.185633
1438,0.176097
1439,0.166144
1440,0.180905
1441,0.183067
1442,0.163734
1443,0.168482
1444,0.157451
1445,0.160126
1446,0.156826
1447,0.135171
1448,0.161009
1449,0.164227
1450,0.164225
1451,0.173468
