time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
56349,0.139073
56350,0.142212
56351,0.155033
56352,0.16914
56353,0.179606
56354,0.136379
56355,0.123682
56356,0.128168
56357,0.138768
56358,0.142647
56359,0.150313
56360,0.13632
56361,0.12066
56362,0.126824
56363,0.136457
56364,0.135781
56365,0.130538
56366,0.155819
56367,0.152944
56368,0.151138
56369,0.159948
56370,0.146332
56371,0.123461
56372,0.114146
56373,0.131939
56374,0.113648
56375,0.11112
56376,0.0898705
56377,0.0869541
56378,0.0719853
56379,0.0769741
56380,0.0706377
56381,0.0736199
56382,0.0939336
56383,0.0834325
56384,0.077414
56385,0.0696358
56386,0.069364
56387,0.0717965
56388,0.0804381
56389,0.090868
56390,0.0915983
56391,0.0691867
56392,0.0680552
56393,0.0812577
56394,0.107155
56395,0.0991234
56396,0.0832247
56397,0.0955533
56398,0.0942786
56399,0.0812668
56400,0.0820443
56401,0.0823771
56402,0.0816457
56403,0.0699337
56404,0.0829022
56405,0.120369
56406,0.0986628
56407,0.100607
56408,0.104477
56409,0.0885136
56410,0.0943595
56411,0.071044
56412,0.0898145
56413,0.114626
56414,0.118013
56415,0.0878614
56416,0.0796486
56417,0.106978
56418,0.105094
56419,0.101832
56420,0.081454
56421,0.0940983
56422,0.0901552
56423,0.0903525
56424,0.0938166
56425,0.0993726
56426,0.110077
56427,0.0908517
56428,0.100663
56429,0.100785
56430,0.0781467
56431,0.0919619
56432,0.075723
56433,0.0694976
56434,0.0925574
56435,0.0880142
56436,0.0813776
56437,0.073276
56438,0.072034
56439,0.0711155
56440,0.072602
56441,0.111228
56442,0.102573
56443,0.107307
56444,0.0869711
56445,0.101503
56446,0.112551
56447,0.121492
56448,0.107674
56449,0.109096
56450,0.124621
56451,0.121499
56452,0.10629
56453,0.0992802
56454,0.088216
56455,0.097264
56456,0.103435
56457,0.126187
56458,0.118309
56459,0.13331
56460,0.126917
56461,0.115518
56462,0.136136
